tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
238,42655,Otávio,244801,FC Porto,3002,7.72,5,7,,,12,38,13,4,1201,81.53,57,96,61.54,41,57.75,70,18,14,458,2269,27,7,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Matheus Nunes,945122,Sporting CP,3001,7.7,1,1,,,1,2,0,0,88,89.8,4,7,70.0,6,66.67,2,3,0,16,180,2,1,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Enzo Fernández,974505,Benfica,3006,7.53,1,5,,,3,29,9,3,1431,87.85,31,161,73.85,10,62.5,40,15,3,270,1388,17,3,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Alejandro Grimaldo,177177,Benfica,3006,7.52,5,9,,,18,40,22,1,1704,85.97,74,54,55.1,36,50.0,74,39,22,560,2947,33,5,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Pedro Gonçalves,895764,Sporting CP,3001,7.51,15,11,,,42,104,16,11,932,81.33,75,51,67.11,44,42.72,59,21,5,506,2818,33,8,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Samuel,552170,FC Porto,3002,7.48,0,0,,,0,0,0,0,76,61.79,0,27,36.49,0,0.0,0,0,3,47,360,4,1,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Iuri Medeiros,252613,Sporting Braga,2999,7.39,10,6,,,35,82,19,6,693,82.01,59,75,75.76,40,57.14,24,6,4,305,2083,30,5,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Ricardo Horta,314380,Sporting Braga,2999,7.38,14,8,,,44,94,8,10,940,84.38,69,42,60.0,19,38.78,35,12,9,346,2618,30,4,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Mehdi Taremi,812533,FC Porto,3002,7.38,22,7,,,50,96,11,17,592,75.03,50,9,50.0,29,50.0,22,8,17,333,2642,33,7,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Lucas Paes,931473,Casa Pia,36365,7.35,0,0,,,0,0,1,0,32,56.14,1,10,29.41,0,0.0,0,0,3,28,180,2,0,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,João Mário,97001,Benfica,3006,7.35,17,7,,,32,76,11,10,1251,87.61,54,34,64.15,32,50.0,45,11,9,399,2657,33,4,1,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Pedro Porro,913654,Sporting CP,3001,7.34,2,6,,,10,36,8,1,393,74.86,34,39,44.32,16,47.06,19,8,13,276,1076,14,4,1,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,João Batxi,988241,Chaves,3025,7.33,1,1,,,2,3,1,0,56,73.68,13,3,50.0,5,50.0,5,1,0,44,329,4,1,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Nuno Santos,352882,Sporting CP,3001,7.3,8,5,,,19,50,11,4,1030,85.76,54,80,75.47,12,52.17,22,23,11,393,2275,31,5,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Luiz Felipe,928228,Vizela,5136,7.3,0,0,,,0,0,0,0,10,52.63,0,4,30.77,0,0.0,0,0,3,9,90,1,1,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Willyan Rocha,892212,Portimonense SAD,3026,7.3,0,0,,,2,4,0,0,189,76.52,1,23,45.1,3,60.0,7,8,16,63,360,4,1,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Andrew,947893,Gil Vicente,3010,7.3,0,0,,,0,0,0,0,571,75.83,0,140,44.3,0,0.0,1,0,32,189,2130,24,1,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Ignacio de Arruabarrena,789933,FC Arouca,25777,7.28,0,1,,,0,0,1,0,512,60.74,3,207,38.91,0,0.0,3,0,44,339,2699,30,5,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Manuel Lopes,1066691,Gil Vicente,3010,7.28,0,0,,,0,6,0,1,276,94.2,2,10,58.82,2,100.0,2,6,11,23,450,5,0,0,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
238,42655,Nicolás Otamendi,74915,Benfica,3006,7.27,1,0,,,8,30,0,1,2025,90.36,6,138,61.61,7,53.85,67,65,88,248,2775,31,9,1,POR,2022-2023,datafc_sofascore,2026-08-11 14:47:20
