tournament_id,season_id,player_name,player_id,team_name,team_id,saves,goalsPrevented,rating,minutesPlayed,appearances,accuratePasses,accurateLongBalls,accurateLongBallsPercentage,yellowCards,redCards,_league_id,_season,_source,_scraped_at
38,42404,Maarten Vandevoordt,934385,KRC Genk,2890,129,,6.95,3600,40,839,230,44.57,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Arnaud Bodart,878898,Standard Liège,2901,119,,6.91,3510,39,698,172,34.26,1,1,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Sinan Bolat,5920,KVC Westerlo,2893,115,,6.87,3240,36,972,337,48.28,6,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Lennart Moser,886064,KAS Eupen,2926,111,,6.7,2745,31,443,166,35.39,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Valentin Cojocaru,182363,Oud-Heverlee Leuven,2918,107,,6.9,3060,34,812,163,38.44,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Simon Mignolet,10406,Club Brugge KV,2888,101,,6.85,3600,40,921,396,52.45,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Radosław Majecki,849114,Cercle Brugge,2929,95,,6.85,3015,34,340,252,33.51,2,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Gaëtan Coucke,794989,KV Mechelen,5044,90,,6.83,2511,28,592,175,40.6,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Hervé Koffi,867299,RC Sporting Charleroi,2898,89,,7.0,2430,27,487,216,47.06,3,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Jean Butez,599114,Royal Antwerp FC,2889,87,,6.96,3600,40,1002,328,48.45,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Anthony Moris,39457,Royale Union Saint-Gilloise,4860,86,,6.74,3600,40,916,379,51.78,5,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Daniel Schmidt,997499,Sint-Truidense VV,2895,83,,6.88,2780,31,658,321,45.47,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Guillaume Dietsch,986770,RFC Seraing,204712,76,,6.74,2070,23,365,213,39.96,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Marko Ilić,843151,KV Kortrijk,4858,72,,7.04,1530,17,339,135,43.97,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Paul Nardi,155717,KAA Gent,2903,68,,6.93,2690,30,509,161,41.93,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Guillaume Hubert,149794,KV Oostende,4494,66,,6.63,1980,22,323,185,41.2,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Sammy Bossut,18827,SV Zulte Waregem,2933,65,,6.5,1980,22,535,201,48.43,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Bart Verbruggen,994363,RSC Anderlecht,2900,64,,7.24,1530,17,510,154,46.81,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Tom Vandenberghe,1046454,KV Kortrijk,4858,56,,6.85,1530,17,297,158,42.02,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Louis Bostyn,145093,SV Zulte Waregem,2933,46,,6.63,1080,12,232,152,50.0,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Hendrik Van Crombrugge,110777,RSC Anderlecht,2900,40,,6.81,1440,16,368,77,42.78,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Dillon Phillips,377166,KV Oostende,4494,27,,6.32,1080,12,158,84,31.82,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Davy Roef,156663,KAA Gent,2903,25,,6.7,910,11,188,64,52.03,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Warleson,861071,Cercle Brugge,2929,22,,6.83,585,7,72,53,35.57,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Timothy Galje,923978,RFC Seraing,204712,21,,6.53,630,7,90,54,29.03,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Pierre Patron,942837,RC Sporting Charleroi,2898,17,,6.95,540,6,106,40,35.09,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Abdul Manaf Nurudeen,886219,KAS Eupen,2926,15,,6.6,315,4,77,15,27.78,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Nick Gillekens,794577,KVC Westerlo,2893,12,,6.93,360,4,120,25,43.1,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Timothy Martin,1123609,RFC Seraing,204712,10,,6.5,360,4,45,24,32.0,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Yannick Thoelen,794571,KV Mechelen,5044,9,,6.2,459,6,117,22,32.84,0,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
38,42404,Jo Coppens,45854,Sint-Truidense VV,2895,7,,6.73,280,4,57,31,44.29,1,0,BEL,2022-2023,datafc_sofascore,2026-08-11 14:48:29
