tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
37,42256,Antony,958380,AFC Ajax,2953,8.35,1,2,,,2,9,2,0,72,78.26,3,3,60.0,8,66.67,2,0,0,37,180,2,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Cody Gakpo,862967,PSV Eindhoven,2952,8.33,9,12,,,26,51,12,5,277,76.52,60,5,50.0,26,50.0,13,8,3,256,1126,14,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Dušan Tadić,38560,AFC Ajax,2953,7.85,11,18,,,21,46,32,5,1154,76.53,164,36,50.0,23,51.11,26,7,15,754,2971,34,3,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Joey Veerman,850816,PSV Eindhoven,2952,7.65,4,10,,,22,58,17,3,1524,83.92,103,170,63.91,31,73.81,52,28,32,455,2489,33,1,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Fredrik Aursnes,228364,Feyenoord,2959,7.6,0,0,,,1,2,2,0,149,87.65,5,13,65.0,2,100.0,2,2,0,26,180,2,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Steven Berghuis,100386,AFC Ajax,2953,7.57,9,9,,,24,75,11,2,1274,83.49,57,108,66.67,17,45.95,44,6,7,456,2103,29,5,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Václav Černý,280631,FC Twente,2955,7.56,13,11,,,30,97,17,5,893,75.3,78,64,62.75,64,57.14,34,16,3,567,2408,32,1,1,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Fabian De Keijzer,856743,FC Utrecht,2948,7.55,0,0,,,0,0,0,0,19,45.24,0,13,36.11,0,0.0,0,0,4,23,180,2,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Xavi Simons,997183,PSV Eindhoven,2952,7.52,19,8,,,39,93,11,9,896,82.2,59,43,78.18,74,57.36,48,11,6,467,2820,34,2,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Orkun Kökçü,907461,Feyenoord,2959,7.48,8,2,,,31,84,9,0,1962,84.57,90,119,54.09,30,57.69,39,19,15,591,2699,32,6,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Philippe Rommens,606190,Go Ahead Eagles,2979,7.43,3,1,,,12,42,7,2,1196,80.54,62,118,52.68,10,55.56,62,33,33,486,2480,28,2,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Oussama Tannane,249435,NEC Nijmegen,2962,7.41,6,9,,,30,77,10,2,825,76.89,60,74,55.64,41,56.16,42,7,5,489,2147,25,7,1,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Ki-Jana Hoever,954044,PSV Eindhoven,2952,7.4,0,2,,,0,4,5,1,114,80.85,5,8,53.33,7,58.33,7,4,3,44,209,5,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Gijs Smal,860160,FC Twente,2955,7.39,2,10,,,15,43,16,0,1547,79.87,64,137,47.57,18,51.43,73,39,36,618,2971,34,2,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Dávid Hancko,807771,Feyenoord,2959,7.39,2,4,,,12,42,4,4,1952,87.89,19,153,51.86,13,72.22,71,31,101,342,2749,31,2,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Kik Pierie,843762,Excelsior,2967,7.34,1,1,,,2,5,1,2,201,76.43,4,26,40.63,2,100.0,9,13,35,68,586,7,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Vito van Crooij,385708,Sparta Rotterdam,2960,7.34,12,11,,,34,67,13,6,695,74.25,79,55,54.46,16,37.21,24,13,28,552,2861,34,4,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Ramiz Zerrouki,989882,FC Twente,2955,7.33,1,3,,,9,31,3,2,1797,85.41,45,178,62.46,15,60.0,95,53,37,412,2813,32,5,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Tijjani Reijnders,893549,AZ Alkmaar,2950,7.32,3,7,,,21,70,12,5,1694,88.83,62,71,62.83,51,62.96,36,53,27,385,3048,34,4,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Aslak Witry,559494,AZ Alkmaar,2950,7.3,0,1,,,0,0,1,0,45,88.24,1,3,100.0,0,0.0,1,0,1,8,52,2,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Barry Lauwers,959060,FC Volendam,2968,7.3,0,0,,,0,0,0,0,16,50.0,0,15,48.39,0,0.0,0,0,0,17,90,1,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Edson Álvarez,847151,AFC Ajax,2953,7.29,3,3,,,18,63,8,3,2129,88.86,30,92,59.74,18,50.0,71,36,74,339,2587,31,10,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Tobias Lauritsen,796943,Sparta Rotterdam,2960,7.27,12,5,,,38,90,5,11,390,54.09,24,9,60.0,15,45.45,14,7,34,446,2964,34,4,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Nick Olij,227192,Sparta Rotterdam,2960,7.26,0,1,,,0,0,1,0,781,68.21,2,333,48.05,0,0.0,1,1,28,373,2880,32,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Thom Haye,149666,SC Heerenveen,2964,7.26,2,3,,,8,39,7,0,1478,82.2,48,199,64.4,17,34.69,82,45,36,557,2723,31,7,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Daley Blind,44864,AFC Ajax,2953,7.25,0,2,,,0,9,3,0,945,88.73,17,80,65.04,4,66.67,18,12,17,160,943,13,1,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Ibrahim Sangaré,843754,PSV Eindhoven,2952,7.24,5,1,,,13,38,4,0,1286,84.27,25,75,60.98,34,77.27,68,22,47,348,2303,29,5,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Steven Bergwijn,361798,AFC Ajax,2953,7.24,12,5,,,38,86,6,11,1062,88.72,47,18,69.23,39,53.42,30,5,4,311,2353,32,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Jesper Karlsson,834597,AZ Alkmaar,2950,7.23,9,4,,,21,49,10,2,498,79.94,42,26,65.0,14,45.16,17,10,7,285,1785,23,5,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Maximilian Wittek,254125,Vitesse,2958,7.23,3,7,,,19,75,5,0,900,74.88,78,61,39.87,23,53.49,74,26,53,635,2720,31,9,1,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Noni Madueke,966547,PSV Eindhoven,2952,7.22,1,0,,,6,17,2,3,85,82.52,13,1,50.0,11,50.0,12,0,0,56,277,5,2,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Michal Sadílek,825731,FC Twente,2955,7.21,2,2,,,4,16,8,2,510,84.44,20,26,46.43,1,33.33,27,10,13,140,1011,14,2,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Sven Mijnans,980671,AZ Alkmaar,2950,7.19,7,8,,,16,61,10,2,937,81.76,48,53,63.1,27,64.29,66,30,23,390,2643,34,1,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Carel Eiting,803025,FC Volendam,2968,7.19,3,10,,,8,27,20,1,763,70.98,88,30,30.61,14,46.67,67,32,37,502,3035,34,4,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Jørgen Strand Larsen,876599,FC Groningen,2951,7.18,1,1,,,5,10,0,1,43,70.49,3,7,77.78,5,62.5,3,1,7,36,360,4,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Sebastian Szymański,847983,Feyenoord,2959,7.17,9,4,,,23,59,5,7,540,76.6,50,30,61.22,14,31.11,51,11,10,357,1973,29,3,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Lars Unnerstall,94835,FC Twente,2955,7.16,0,0,,,0,0,0,0,477,59.4,1,168,34.36,2,100.0,1,1,27,334,2970,33,0,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
37,42256,Etienne Vaessen,809408,RKC Waalwijk,2956,7.16,0,0,,,0,0,0,0,588,58.62,2,224,36.07,2,100.0,4,1,30,427,2880,32,3,0,NED,2022-2023,datafc_sofascore,2026-08-12 07:02:47
