tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
45,42386,Yusuf Demir,962283,SK Rapid Wien,2055,8.9,1,0,,,2,4,1,0,29,82.86,2,3,100.0,2,66.67,10,1,0,17,89,1,0,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Paul Gartler,355478,SK Rapid Wien,2055,7.8,0,0,,,0,0,0,0,21,65.63,0,11,50.0,0,0.0,0,0,1,11,90,1,1,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Oumar Solet,892979,Red Bull Salzburg,2046,7.42,1,1,,,4,14,1,3,1365,88.46,10,149,66.82,25,69.44,47,66,86,224,2181,25,4,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Dominik Fitz,837084,FK Austria Wien,2203,7.39,7,9,,,15,56,9,3,524,66.25,87,68,48.92,24,50.0,11,12,15,521,1970,27,6,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Nicolas Seiwald,976575,Red Bull Salzburg,2046,7.35,3,2,,,10,20,9,0,1107,79.87,51,72,42.86,35,77.78,83,47,11,442,2588,31,3,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Maximilian Wöber,794962,Red Bull Salzburg,2046,7.28,1,2,,,7,16,5,1,484,77.32,11,37,50.68,5,62.5,25,18,32,230,1186,15,2,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Rasmus Højlund,1086417,SK Sturm Graz,2051,7.26,3,2,,,7,10,2,3,44,61.97,6,0,0.0,3,50.0,1,0,3,51,401,5,0,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Samson Baidoo,1099117,Red Bull Salzburg,2046,7.25,0,0,,,0,2,0,1,53,76.81,0,9,42.86,0,0.0,8,4,9,24,183,4,0,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Fernando,911195,Red Bull Salzburg,2046,7.23,6,3,,,17,33,4,6,113,82.48,8,3,60.0,11,44.0,3,3,0,82,580,9,0,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
45,42386,Kamil Piątkowski,942335,Red Bull Salzburg,2046,7.23,0,0,,,0,0,0,0,132,81.48,0,10,33.33,0,0.0,5,8,7,32,225,3,0,0,AUT,2022-2023,datafc_sofascore,2026-08-12 07:04:31
